Epoch	Train Loss	Val Loss
1	6.9161	2.6284
2	2.1265	1.7274
3	1.4863	1.2687
4	1.1957	1.0626
5	1.0295	0.9501
6	0.9125	0.9166
7	0.8258	0.8261
8	0.7542	0.7014
9	0.7001	0.6786
10	0.6558	0.6123
11	0.6169	0.5985
12	0.5842	0.5491
13	0.5577	0.5276
14	0.5322	0.5064
15	0.5133	0.4850
16	0.4925	0.4686
17	0.4760	0.4498
18	0.4599	0.4391
19	0.4464	0.4235
20	0.4346	0.4154
21	0.4226	0.4025
22	0.4121	0.3913
23	0.4021	0.3847
24	0.3944	0.3764
25	0.3854	0.3717
26	0.3778	0.3591
27	0.3706	0.3543
28	0.3643	0.3563
29	0.3577	0.3417
30	0.3517	0.3368
31	0.3463	0.3303
32	0.3413	0.3285
33	0.3368	0.3226
34	0.3323	0.3187
35	0.3278	0.3148
36	0.3243	0.3116
37	0.3204	0.3068
38	0.3161	0.3039
39	0.3133	0.3004
40	0.3096	0.2979
41	0.3065	0.2956
42	0.3035	0.2917
43	0.3007	0.2891
44	0.2979	0.2914
45	0.2949	0.2835
46	0.2937	0.2824
47	0.2906	0.2819
48	0.2882	0.2773
49	0.2863	0.2784
50	0.2840	0.2735
51	0.2816	0.2726
52	0.2803	0.2704
53	0.2777	0.2673
54	0.2767	0.2676
55	0.2750	0.2697
56	0.2725	0.2634
57	0.2708	0.2608
58	0.2696	0.2619
59	0.2686	0.2608
60	0.2664	0.2569
61	0.2651	0.2558
62	0.2635	0.2555
63	0.2624	0.2538
64	0.2604	0.2522
65	0.2603	0.2521
66	0.2583	0.2512
67	0.2573	0.2516
68	0.2557	0.2470
69	0.2552	0.2465
70	0.2538	0.2452
71	0.2532	0.2446
72	0.2517	0.2433
73	0.2506	0.2440
74	0.2497	0.2429
75	0.2486	0.2430
76	0.2482	0.2396
77	0.2472	0.2394
78	0.2460	0.2391
79	0.2451	0.2369
80	0.2441	0.2480
81	0.2437	0.2377
82	0.2427	0.2363
83	0.2415	0.2353
84	0.2410	0.2332
85	0.2402	0.2336
86	0.2397	0.2322
87	0.2385	0.2321
88	0.2380	0.2304
89	0.2373	0.2307
90	0.2368	0.2301
91	0.2355	0.2287
92	0.2357	0.2299
93	0.2349	0.2274
94	0.2337	0.2277
95	0.2337	0.2270
96	0.2333	0.2301
97	0.2321	0.2253
98	0.2316	0.2259
